employeeID;employeeName;employeeSurname;city;phone;email;image
7db85f34-010f-4807-ac39-6f3f63a2fb40;Minta;Candlish;Aalborg;57555900;mcandlish0@gavdi.com;https://images.generated.photos/RZiKeWVLofY1wyWrtQ8xiNMFPJo0rddiQtcG2mTx2yU/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NjI1NDIwLmpwZw.jpg
920e8dd0-1a7e-4f40-a5ee-89f8d2dd1a43;Ophelia;Laurisch;Copenhagen;82517045;olaurisch1@gavdi.com;https://images.generated.photos/VohyoLr7yACdyhiyJxoQX0F7NQ4V1mAsOsrSy_YjgCM/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NDY2NTQ0LmpwZw.jpg
474090c4-63c4-4238-a92f-d4627e8631bc;Agnesse;Hardison;Copenhagen;98378796;ahardison2@gavdi.com;https://images.generated.photos/Y6oxPGed-wegsXWl97GVUolCBDtcHlyKo9OREHfC_MI/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/MzAyNzM5LmpwZw.jpg
980fb7f5-b229-4837-8be4-dd5eeba496bb;Garold;Maceur;Aalborg;74654731;gmaceur3@gavdi.com;https://images.generated.photos/K-P1kw1iMRXTQK1h7H5FNPj3wNGrtoacMbZw3DS2E0g/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NjQyNDU3LmpwZw.jpg
a991c03e-34d4-4751-b684-bf882e1ee072;Anna;Futcher;Copenhagen;71096082;afutcher4@gavdi.com;https://images.generated.photos/hof7BfFA9pqyEWYT6MJrH8oYzchc-VI3inrjpiHZxWE/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NDg1MDA2LmpwZw.jpg
6208d622-1ee4-4228-b817-6ea3b8c42a40;Felipe;Diglin;Aalborg;39374631;fdiglin5@gavdi.com;https://images.generated.photos/LcFYms8PPJ9btresxYo7Oq-1ob8c10WxYB6KelFtRt0/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/OTYxMTc0LmpwZw.jpg
5a1ab311-9652-42f7-b473-58a8724b2800;Gabriel;Norcop;Copenhagen;68639880;gnorcop6@gavdi.com;https://images.generated.photos/KU0nAP9HlywxSkWc9S939ii7I_kJTAEK19C3edDkmRE/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NzU2MTQ5LmpwZw.jpg
c724d17a-ab13-490a-b6f3-a0b1b3ec2bc8;Joice;Spaven;Copenhagen;08471706;jspaven7@gavdi.com;https://images.generated.photos/NKwNHPFkQS-eenQX7Jd6ZnuYgYBz4SBtoQ2oogpwCU0/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NzM0Mzk1LmpwZw.jpg
5cf0e594-6fc5-4a60-88c8-07d4501e4d58;Will;Wormleighton;Copenhagen;07696613;wwormleighton8@gavdi.com;https://images.generated.photos/ta1DKYW6LtB3FSGk88P9m6gPGBJi9ybm0Y4maFmgjYM/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/OTQxMjYxLmpwZw.jpg
b6b35f57-c110-42f7-ab6b-4c970fab1883;Erwin;Taudevin;Copenhagen;46987668;etaudevin9@gavdi.com;https://images.generated.photos/qKAW7huqRjNnLQ4TA49Ok2QS2pYs885MvzZDMSVrp6o/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/Njk0NTE5LmpwZw.jpg
46db8dd6-5fe5-4edc-880e-cdbcf07672fe;Richard;Parkeson;Copenhagen;50784103;rparkesona@gavdi.com;https://images.generated.photos/4VY8OAUgTWZHzAs9h2fPPEZygRPW5xv3MPiTA6Zl5vY/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NTI3MDIxLmpwZw.jpg
5275a53e-642d-4b8c-b198-0bbb65635d6c;Joanne;Vennart;Copenhagen;26548275;jvennartb@gavdi.com;https://images.generated.photos/fu_ZAD21ioKt1-UHmdjLpNCYwREB_Iphsjd5nlIAdnk/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/MDYxMTk2LmpwZw.jpg
6918e17b-6f97-451b-9ba9-594f68bdce55;Benedikta;Zumarraga;Aalborg;51416284;brobertssonc@gavdi.com;https://images.generated.photos/-yBtNuJaG-YapgzEsoFqDN07jFA6kYs-XTXarqi6-Yk/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/MjgxMDcyLmpwZw.jpg
f1d3ee28-ce53-42e2-a79d-6941c146db7b;Tudor;Gregersen;Aalborg;86092873;tgregersend@gavdi.com;https://images.generated.photos/aDDuJDM_CYyBwFjcqhKrn4ETOcrUCUI1u5boG6To7C4/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/Mzg0NDc4LmpwZw.jpg
7808c6e1-62da-4a48-83c0-8989a18050c5;Kevin;Synder;Aalborg;25562721;ksyndere@gavdi.com;https://images.generated.photos/-gypqqfi0pUMOt-qeWt__JmfJvh05i_BFzsR9eTE_So/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/czM6Ly9pY29uczgu/Z3Bob3Rvcy1wcm9k/LnBob3Rvcy92M18w/NDczNjQ0LmpwZw.jpg
